dataset,method,iter,split,accuracy,f1_score
boxing2,gemma3:27b,4,50/50,0.505591798695247,0.49988518943742827
boxing2,gemma3:27b,0,67/33,0.6818181818181818,0.6818181818181818
boxing2,gemma3:27b,1,67/33,0.5357142857142857,0.47483134405812144
boxing2,gemma3:27b,2,67/33,0.4625,0.377475947934352
boxing2,gemma3:27b,3,67/33,0.4720496894409938,0.37142857142857144
boxing2,gemma3:27b,4,67/33,0.5348583877995643,0.5204981837052414
boxing2,gpt-oss:120b,0,33/67,0.633130081300813,0.6292134831460674
boxing2,gpt-oss:120b,1,33/67,0.5754573170731707,0.5737216828478965
boxing2,gpt-oss:120b,2,33/67,0.3939393939393939,0.3913373860182371
boxing2,gpt-oss:120b,3,33/67,0.5460060667340748,0.5239399869536856
boxing2,gpt-oss:120b,4,33/67,0.561025641025641,0.539655172413793
boxing2,gpt-oss:120b,0,50/50,0.62073732718894,0.6204278812974464
boxing2,gpt-oss:120b,1,50/50,0.5874060150375939,0.5875
boxing2,gpt-oss:120b,2,50/50,0.3935483870967742,0.39338235294117646
boxing2,gpt-oss:120b,3,50/50,0.5585253456221198,0.5299145299145299
boxing2,gpt-oss:120b,4,50/50,0.5568499534016775,0.5343611183694801
boxing2,gpt-oss:120b,0,67/33,0.6363636363636364,0.6363636363636364
boxing2,gpt-oss:120b,1,67/33,0.6026785714285714,0.596765498652291
boxing2,gpt-oss:120b,2,67/33,0.35833333333333334,0.35833333333333334
boxing2,gpt-oss:120b,3,67/33,0.536231884057971,0.5206971677559913
boxing2,gpt-oss:120b,4,67/33,0.477124183006536,0.4540942928039702
creditscore,claude,0,33/67,0.7252941176470589,0.7613960113960114
creditscore,claude,1,33/67,0.5511764705882353,0.3858707802369774
creditscore,claude,2,33/67,0.6243872549019608,0.5958562811434566
creditscore,claude,3,33/67,0.5603070175438596,0.5286116322701688
creditscore,claude,4,33/67,0.5096371882086168,0.4528130671506352
creditscore,claude,0,50/50,0.6535087719298246,0.6810772501771793
creditscore,claude,1,50/50,0.5219298245614035,0.358974358974359
creditscore,claude,2,50/50,0.6,0.5687468290208015
creditscore,claude,3,50/50,0.5277777777777778,0.5066495066495067
creditscore,claude,4,50/50,0.465034965034965,0.4005787515502274
creditscore,claude,0,67/33,0.6590909090909092,0.6699999999999999
creditscore,claude,1,67/33,0.5247252747252747,0.33272058823529416
creditscore,claude,2,67/33,0.55,0.5227272727272727
creditscore,claude,3,67/33,0.6325000000000001,0.5909090909090909
creditscore,claude,4,67/33,0.5474137931034483,0.3653846153846154
creditscore,gemini,0,33/67,0.5705882352941176,0.38311250842128897
creditscore,gemini,1,33/67,0.6076470588235294,0.6193181818181819
creditscore,gemini,2,33/67,0.2861519607843137,0.30641821946169767
creditscore,gemini,3,33/67,0.5301535087719298,0.4173913043478261
creditscore,gemini,4,33/67,0.6184807256235827,0.6311926605504588
creditscore,gemini,0,50/50,0.5504385964912281,0.355877616747182
creditscore,gemini,1,50/50,0.6535087719298246,0.6810772501771793
creditscore,gemini,2,50/50,0.275,0.2989597467209407
creditscore,gemini,3,50/50,0.5099206349206349,0.41976790716286516
creditscore,gemini,4,50/50,0.5652680652680653,0.5686274509803921
creditscore,gemini,0,67/33,0.5,0.32390243902439025
creditscore,gemini,1,67/33,0.6428571428571428,0.6783625730994152
creditscore,gemini,2,67/33,0.3225,0.3365079365079365
creditscore,gemini,3,67/33,0.515,0.39338235294117646
creditscore,gemini,4,67/33,0.7155172413793103,0.7155172413793103
creditscore,gpt-4o,0,33/67,0.36705882352941177,0.36190476190476195
creditscore,gpt-4o,1,33/67,0.4335294117647059,0.3283582089552239
creditscore,gpt-4o,2,33/67,0.5980392156862745,0.38311250842128897
creditscore,gpt-4o,3,33/67,0.47752192982456143,0.3880597014925373
creditscore,gpt-4o,4,33/67,0.3299319727891156,0.31305536568694464
creditscore,gpt-4o,0,50/50,0.4451754385964912,0.42084942084942084
creditscore,gpt-4o,1,50/50,0.3684210526315789,0.29747089522280207
creditscore,gpt-4o,2,50/50,0.6,0.358974358974359
creditscore,gpt-4o,3,50/50,0.5099206349206349,0.41976790716286516
creditscore,gpt-4o,4,50/50,0.2902097902097902,0.27656056221579167
creditscore,gpt-4o,0,67/33,0.40909090909090906,0.4045584045584045
creditscore,gpt-4o,1,67/33,0.31043956043956045,0.23963133640552994
creditscore,gpt-4o,2,67/33,0.58,0.35414725069897485
creditscore,gpt-4o,3,67/33,0.515,0.39338235294117646
creditscore,gpt-4o,4,67/33,0.2801724137931034,0.25951219512195123
creditscore,gpt-o1,0,33/67,0.5605882352941176,0.36621621621621625
creditscore,gpt-o1,1,33/67,0.5723529411764705,0.4733887267011003
creditscore,gpt-o1,2,33/67,0.5490196078431373,0.2944139194139194
creditscore,gpt-o1,3,33/67,0.6030701754385965,0.5197132616487455
creditscore,gpt-o1,4,33/67,0.48639455782312924,0.4017857142857143
creditscore,gpt-o1,0,50/50,0.5372807017543859,0.33333333333333337
creditscore,gpt-o1,1,50/50,0.6008771929824561,0.47665056360708535
creditscore,gpt-o1,2,50/50,0.55,0.2694805194805195
creditscore,gpt-o1,3,50/50,0.5873015873015873,0.4981934965877158
creditscore,gpt-o1,4,50/50,0.49184149184149184,0.358974358974359
creditscore,gpt-o1,0,67/33,0.47727272727272724,0.27976190476190477
creditscore,gpt-o1,1,67/33,0.5494505494505495,0.44172932330827064
creditscore,gpt-o1,2,67/33,0.54,0.2792022792022792
creditscore,gpt-o1,3,67/33,0.6575,0.5386766076421249
creditscore,gpt-o1,4,67/33,0.6206896551724138,0.3277777777777778
creditscore,llama3.1:70b,0,33/67,0.48235294117647054,0.3419642857142857
creditscore,llama3.1:70b,1,33/67,0.5252941176470588,0.5034584980237153
creditscore,llama3.1:70b,2,33/67,0.4381127450980392,0.36621621621621625
creditscore,llama3.1:70b,3,33/67,0.45010964912280704,0.43433395872420266
creditscore,llama3.1:70b,4,33/67,0.5277777777777778,0.47871853546910753
creditscore,llama3.1:70b,0,50/50,0.5087719298245614,0.33761541549578483
creditscore,llama3.1:70b,1,50/50,0.6228070175438596,0.5659722222222222
creditscore,llama3.1:70b,2,50/50,0.3875,0.31006493506493504
creditscore,llama3.1:70b,3,50/50,0.5138888888888888,0.49066213921901525
creditscore,llama3.1:70b,4,50/50,0.5454545454545454,0.5265151515151515
creditscore,llama3.1:70b,0,67/33,0.4318181818181818,0.25951219512195123
creditscore,llama3.1:70b,1,67/33,0.6456043956043955,0.5662285136501517
creditscore,llama3.1:70b,2,67/33,0.37,0.30046082949308756
creditscore,llama3.1:70b,3,67/33,0.51,0.47619047619047616
creditscore,llama3.1:70b,4,67/33,0.5,0.46774193548387094
creditscore,llama3.3:70b,0,33/67,0.6370588235294118,0.6588327457892675
creditscore,llama3.3:70b,1,33/67,0.49529411764705883,0.46914765906362543
creditscore,llama3.3:70b,2,33/67,0.7205882352941176,0.7448944271374178
creditscore,llama3.3:70b,3,33/67,0.41831140350877194,0.41569767441860467
creditscore,llama3.3:70b,4,33/67,0.6717687074829932,0.5878332194121667
creditscore,llama3.3:70b,0,50/50,0.611842105263158,0.6279761904761905
creditscore,llama3.3:70b,1,50/50,0.4714912280701754,0.45054945054945056
creditscore,llama3.3:70b,2,50/50,0.6625000000000001,0.6810772501771793
creditscore,llama3.3:70b,3,50/50,0.42063492063492064,0.4206773618538324
creditscore,llama3.3:70b,4,50/50,0.6655011655011656,0.5586380832282472
creditscore,llama3.3:70b,0,67/33,0.6136363636363636,0.611764705882353
creditscore,llama3.3:70b,1,67/33,0.5027472527472527,0.47619047619047616
creditscore,llama3.3:70b,2,67/33,0.6675,0.6944444444444444
creditscore,llama3.3:70b,3,67/33,0.405,0.40634920634920635
creditscore,llama3.3:70b,4,67/33,0.6336206896551724,0.47619047619047616
creditscore,deepseek-r1:70b,0,33/67,0.5876470588235294,0.5939393939393939
creditscore,deepseek-r1:70b,1,33/67,0.5976470588235294,0.6063454759106933
creditscore,deepseek-r1:70b,2,33/67,0.5,0.4322033898305085
creditscore,deepseek-r1:70b,3,33/67,0.5948464912280702,0.5939393939393939
creditscore,deepseek-r1:70b,4,33/67,0.5277777777777778,0.47871853546910753
creditscore,deepseek-r1:70b,0,50/50,0.5021929824561403,0.4791666666666667
creditscore,deepseek-r1:70b,1,50/50,0.6666666666666666,0.7023809523809523
creditscore,deepseek-r1:70b,2,50/50,0.5,0.4444444444444444
creditscore,deepseek-r1:70b,3,50/50,0.5714285714285714,0.5535714285714286
creditscore,deepseek-r1:70b,4,50/50,0.5454545454545454,0.5265151515151515
creditscore,deepseek-r1:70b,0,67/33,0.4772727272727273,0.4392156862745098
creditscore,deepseek-r1:70b,1,67/33,0.6428571428571428,0.6783625730994152
creditscore,deepseek-r1:70b,2,67/33,0.5,0.43103448275862066
creditscore,deepseek-r1:70b,3,67/33,0.625,0.6464285714285715
creditscore,deepseek-r1:70b,4,67/33,0.5,0.46774193548387094
creditscore,gemma3:27b,0,33/67,0.4376470588235294,0.4394062078272605
creditscore,gemma3:27b,1,33/67,0.4082352941176471,0.4122807017543859
creditscore,gemma3:27b,2,33/67,0.6151960784313726,0.6329540665823852
creditscore,gemma3:27b,3,33/67,0.569078947368421,0.5705128205128205
creditscore,gemma3:27b,4,33/67,0.5702947845804989,0.5705128205128205
creditscore,gemma3:27b,0,50/50,0.4144736842105263,0.415614773258532
creditscore,gemma3:27b,1,50/50,0.4144736842105263,0.415614773258532
creditscore,gemma3:27b,2,50/50,0.5875,0.6021220159151194
creditscore,gemma3:27b,3,50/50,0.5515873015873015,0.5479204339963833
creditscore,gemma3:27b,4,50/50,0.5396270396270396,0.5393338058114813
creditscore,gemma3:27b,0,67/33,0.4318181818181818,0.4327603640040445
creditscore,gemma3:27b,1,67/33,0.3983516483516484,0.4057623049219688
creditscore,gemma3:27b,2,67/33,0.5625,0.5497076023391813
creditscore,gemma3:27b,3,67/33,0.585,0.5925925925925926
creditscore,gemma3:27b,4,67/33,0.5560344827586207,0.5497076023391813
creditscore,gpt-oss:120b,0,33/67,0.4547058823529412,0.40464798359535203
creditscore,gpt-oss:120b,1,33/67,0.5905882352941176,0.41582830315224684
creditscore,gpt-oss:120b,2,33/67,0.5257352941176471,0.3396057347670251
creditscore,gpt-oss:120b,3,33/67,0.5148026315789473,0.36621621621621625
creditscore,gpt-oss:120b,4,33/67,0.42970521541950113,0.25199362041467305
creditscore,gpt-oss:120b,0,50/50,0.41885964912280704,0.3905002101723413
creditscore,gpt-oss:120b,1,50/50,0.5767543859649122,0.39903846153846156
creditscore,gpt-oss:120b,2,50/50,0.48750000000000004,0.29971988795518206
creditscore,gpt-oss:120b,3,50/50,0.49007936507936506,0.355877616747182
creditscore,gpt-oss:120b,4,50/50,0.4149184149184149,0.23510466988727857
creditscore,gpt-oss:120b,0,67/33,0.40909090909090906,0.38888888888888884
creditscore,gpt-oss:120b,1,67/33,0.5439560439560439,0.36363636363636365
creditscore,gpt-oss:120b,2,67/33,0.455,0.30046082949308756
creditscore,gpt-oss:120b,3,67/33,0.435,0.26666666666666666
creditscore,gpt-oss:120b,4,67/33,0.5344827586206896,0.17880184331797233
japansolvent,claude,0,33/67,0.7696078431372549,0.7697368421052632
japansolvent,claude,1,33/67,0.7973856209150327,0.7973531844499586
japansolvent,claude,2,33/67,0.826797385620915,0.8273026315789473
japansolvent,claude,3,33/67,0.8022875816993464,0.7993447993447993
japansolvent,claude,4,33/67,0.857843137254902,0.8571428571428571
japansolvent,claude,0,50/50,0.7738095238095238,0.7692307692307693
japansolvent,claude,1,50/50,0.7515151515151515,0.75625
japansolvent,claude,2,50/50,0.8511904761904762,0.8461538461538461
japansolvent,claude,3,50/50,0.8095238095238095,0.8074074074074074
japansolvent,claude,4,50/50,0.8511904761904762,0.8461538461538461
japansolvent,claude,0,67/33,0.7222222222222222,0.7213622291021672
japansolvent,claude,1,67/33,0.7662337662337663,0.7662337662337663
japansolvent,claude,2,67/33,0.8375,0.8328173374613003
japansolvent,claude,3,67/33,0.9,0.8888888888888888
japansolvent,claude,4,67/33,0.875,0.8285714285714285
japansolvent,gemini,0,33/67,0.7663398692810457,0.7619047619047619
japansolvent,gemini,1,33/67,0.7941176470588236,0.788975021533161
japansolvent,gemini,2,33/67,0.7647058823529411,0.7552447552447552
japansolvent,gemini,3,33/67,0.8316993464052287,0.8273026315789473
japansolvent,gemini,4,33/67,0.826797385620915,0.8273026315789473
japansolvent,gemini,0,50/50,0.7857142857142857,0.7636363636363637
japansolvent,gemini,1,50/50,0.7272727272727273,0.7291666666666667
japansolvent,gemini,2,50/50,0.7857142857142857,0.7636363636363637
japansolvent,gemini,3,50/50,0.8154761904761905,0.8074074074074074
japansolvent,gemini,4,50/50,0.8809523809523809,0.8830584707646176
japansolvent,gemini,0,67/33,0.7222222222222222,0.6989966555183946
japansolvent,gemini,1,67/33,0.7857142857142857,0.8036363636363637
japansolvent,gemini,2,67/33,0.8,0.775
japansolvent,gemini,3,67/33,0.9,0.8888888888888888
japansolvent,gemini,4,67/33,0.875,0.875
japansolvent,gpt-4o,0,33/67,0.6470588235294118,0.6022727272727273
japansolvent,gpt-4o,1,33/67,0.7189542483660131,0.7083333333333333
japansolvent,gpt-4o,2,33/67,0.7696078431372549,0.7697368421052632
japansolvent,gpt-4o,3,33/67,0.6013071895424837,0.5996732026143792
japansolvent,gpt-4o,4,33/67,0.7124183006535948,0.712171052631579
japansolvent,gpt-4o,0,50/50,0.6428571428571428,0.5751633986928104
japansolvent,gpt-4o,1,50/50,0.8,0.7678571428571428
japansolvent,gpt-4o,2,50/50,0.8154761904761905,0.8074074074074074
japansolvent,gpt-4o,3,50/50,0.6607142857142857,0.6533333333333333
japansolvent,gpt-4o,4,50/50,0.7261904761904762,0.7271364317841079
japansolvent,gpt-4o,0,67/33,0.6111111111111112,0.5418181818181818
japansolvent,gpt-4o,1,67/33,0.8181818181818181,0.7777777777777778
japansolvent,gpt-4o,2,67/33,0.7875,0.7777777777777778
japansolvent,gpt-4o,3,67/33,0.7875,0.7777777777777778
japansolvent,gpt-4o,4,67/33,0.6666666666666667,0.6727272727272727
japansolvent,gpt-o1,0,33/67,0.5588235294117647,0.4582043343653251
japansolvent,gpt-o1,1,33/67,0.5735294117647058,0.5700245700245701
japansolvent,gpt-o1,2,33/67,0.5294117647058824,0.4017094017094017
japansolvent,gpt-o1,3,33/67,0.803921568627451,0.7973531844499586
japansolvent,gpt-o1,4,33/67,0.5588235294117647,0.4582043343653251
japansolvent,gpt-o1,0,50/50,0.5714285714285714,0.4583333333333333
japansolvent,gpt-o1,1,50/50,0.4606060606060606,0.45833333333333337
japansolvent,gpt-o1,2,50/50,0.5357142857142857,0.390990990990991
japansolvent,gpt-o1,3,50/50,0.8511904761904762,0.8461538461538461
japansolvent,gpt-o1,4,50/50,0.5833333333333334,0.5112781954887218
japansolvent,gpt-o1,0,67/33,0.5,0.3333333333333333
japansolvent,gpt-o1,1,67/33,0.39610389610389607,0.38699690402476783
japansolvent,gpt-o1,2,67/33,0.5,0.3076923076923077
japansolvent,gpt-o1,3,67/33,0.9,0.8888888888888888
japansolvent,gpt-o1,4,67/33,0.5,0.4
japansolvent,llama3.1:70b,0,33/67,0.5408496732026145,0.5394736842105263
japansolvent,llama3.1:70b,1,33/67,0.6764705882352942,0.6438482886216466
japansolvent,llama3.1:70b,2,33/67,0.5294117647058824,0.4017094017094017
japansolvent,llama3.1:70b,3,33/67,0.5,0.3269230769230769
japansolvent,llama3.1:70b,4,33/67,0.707516339869281,0.6940559440559441
japansolvent,llama3.1:70b,0,50/50,0.5416666666666667,0.5384615384615384
japansolvent,llama3.1:70b,1,50/50,0.6363636363636364,0.6090225563909775
japansolvent,llama3.1:70b,2,50/50,0.5,0.3157894736842105
japansolvent,llama3.1:70b,3,50/50,0.5,0.3157894736842105
japansolvent,llama3.1:70b,4,50/50,0.7559523809523809,0.75625
japansolvent,llama3.1:70b,0,67/33,0.5,0.4984520123839009
japansolvent,llama3.1:70b,1,67/33,0.6428571428571428,0.6296296296296295
japansolvent,llama3.1:70b,2,67/33,0.5,0.3076923076923077
japansolvent,llama3.1:70b,3,67/33,0.5,0.3076923076923077
japansolvent,llama3.1:70b,4,67/33,0.625,0.6296296296296295
japansolvent,llama3.3:70b,0,33/67,0.5,0.33962264150943394
japansolvent,llama3.3:70b,1,33/67,0.4509803921568627,0.4272179155900086
japansolvent,llama3.3:70b,2,33/67,0.5,0.33962264150943394
japansolvent,llama3.3:70b,3,33/67,0.5,0.3269230769230769
japansolvent,llama3.3:70b,4,33/67,0.7352941176470589,0.72
japansolvent,llama3.3:70b,0,50/50,0.5,0.3157894736842105
japansolvent,llama3.3:70b,1,50/50,0.4242424242424242,0.40522875816993464
japansolvent,llama3.3:70b,2,50/50,0.5,0.3157894736842105
japansolvent,llama3.3:70b,3,50/50,0.5,0.3157894736842105
japansolvent,llama3.3:70b,4,50/50,0.7916666666666667,0.7926634768740032
japansolvent,llama3.3:70b,0,67/33,0.5,0.3333333333333333
japansolvent,llama3.3:70b,1,67/33,0.38961038961038963,0.375
japansolvent,llama3.3:70b,2,67/33,0.5,0.3076923076923077
japansolvent,llama3.3:70b,3,67/33,0.5,0.3076923076923077
japansolvent,llama3.3:70b,4,67/33,0.8333333333333333,0.8615384615384616
japansolvent,deepseek-r1:70b,0,33/67,0.5898692810457516,0.5359848484848485
japansolvent,deepseek-r1:70b,1,33/67,0.6111111111111112,0.5359848484848485
japansolvent,deepseek-r1:70b,2,33/67,0.5718954248366013,0.5714285714285714
japansolvent,deepseek-r1:70b,3,33/67,0.7483660130718954,0.735071488645921
japansolvent,deepseek-r1:70b,4,33/67,0.5620915032679739,0.5143385753931544
japansolvent,deepseek-r1:70b,0,50/50,0.6071428571428571,0.519327731092437
japansolvent,deepseek-r1:70b,1,50/50,0.6333333333333333,0.5438596491228069
japansolvent,deepseek-r1:70b,2,50/50,0.6130952380952381,0.6130952380952381
japansolvent,deepseek-r1:70b,3,50/50,0.7797619047619048,0.7678571428571428
japansolvent,deepseek-r1:70b,4,50/50,0.5952380952380952,0.5751633986928104
japansolvent,deepseek-r1:70b,0,67/33,0.5555555555555556,0.4461538461538461
japansolvent,deepseek-r1:70b,1,67/33,0.5909090909090909,0.4581939799331104
japansolvent,deepseek-r1:70b,2,67/33,0.5,0.4984520123839009
japansolvent,deepseek-r1:70b,3,67/33,0.8,0.775
japansolvent,deepseek-r1:70b,4,67/33,0.5833333333333334,0.5846153846153846
japansolvent,gemma3:27b,0,33/67,0.6584967320261439,0.6568627450980392
japansolvent,gemma3:27b,1,33/67,0.6339869281045751,0.6173254835996635
japansolvent,gemma3:27b,2,33/67,0.738562091503268,0.735071488645921
japansolvent,gemma3:27b,3,33/67,0.6013071895424837,0.5996732026143792
japansolvent,gemma3:27b,4,33/67,0.8545751633986928,0.8552522746071134
japansolvent,gemma3:27b,0,50/50,0.6488095238095238,0.6491754122938531
japansolvent,gemma3:27b,1,50/50,0.5636363636363637,0.5357142857142857
japansolvent,gemma3:27b,2,50/50,0.7797619047619048,0.7678571428571428
japansolvent,gemma3:27b,3,50/50,0.6607142857142857,0.6533333333333333
japansolvent,gemma3:27b,4,50/50,0.9226190476190477,0.9226190476190477
japansolvent,gemma3:27b,0,67/33,0.6666666666666667,0.6625
japansolvent,gemma3:27b,1,67/33,0.4935064935064935,0.4375
japansolvent,gemma3:27b,2,67/33,0.7875,0.7777777777777778
japansolvent,gemma3:27b,3,67/33,0.7875,0.7777777777777778
japansolvent,gemma3:27b,4,67/33,0.9583333333333333,0.939799331103679
japansolvent,gpt-oss:120b,0,33/67,0.6601307189542484,0.6546052631578947
japansolvent,gpt-oss:120b,1,33/67,0.7663398692810457,0.7619047619047619
japansolvent,gpt-oss:120b,2,33/67,0.6470588235294118,0.6022727272727273
japansolvent,gpt-oss:120b,3,33/67,0.6666666666666666,0.6195652173913043
japansolvent,gpt-oss:120b,4,33/67,0.5,0.33962264150943394
japansolvent,gpt-oss:120b,0,50/50,0.6845238095238095,0.6848484848484848
japansolvent,gpt-oss:120b,1,50/50,0.693939393939394,0.6941176470588235
japansolvent,gpt-oss:120b,2,50/50,0.6785714285714286,0.6267942583732058
japansolvent,gpt-oss:120b,3,50/50,0.7142857142857143,0.675
japansolvent,gpt-oss:120b,4,50/50,0.5,0.35
japansolvent,gpt-oss:120b,0,67/33,0.6666666666666667,0.6625
japansolvent,gpt-oss:120b,1,67/33,0.7142857142857143,0.7230769230769231
japansolvent,gpt-oss:120b,2,67/33,0.6,0.5
japansolvent,gpt-oss:120b,3,67/33,0.75,0.7142857142857142
japansolvent,gpt-oss:120b,4,67/33,0.5,0.4
colic,claude,0,33/67,0.5796052631578947,0.48074655181254167
colic,claude,1,33/67,0.6135460895767704,0.5358793357371388
colic,claude,2,33/67,0.5780172413793103,0.4556150820561508
colic,claude,3,33/67,0.5933026584867076,0.48060747663551406
colic,claude,4,33/67,0.5481852315394242,0.39065060414528296
colic,claude,0,50/50,0.5842577589430388,0.48217102211226226
colic,claude,1,50/50,0.595945945945946,0.5226905117954039
colic,claude,2,50/50,0.577215505421912,0.47772429964210783
colic,claude,3,50/50,0.6005230258961602,0.5056600356204908
colic,claude,4,50/50,0.5358509194125632,0.37969328397673185
colic,claude,0,67/33,0.6053900709219858,0.5019707207207207
colic,claude,1,67/33,0.6117133393556158,0.5124297229560387
colic,claude,2,67/33,0.5841134751773049,0.48839809896561365
colic,claude,3,67/33,0.5801418439716312,0.4916666666666667
colic,claude,4,67/33,0.5465341066003866,0.40487804878048783
colic,gemini,0,33/67,0.5592105263157895,0.5492700729927007
colic,gemini,1,33/67,0.6316258046842897,0.6272635814889336
colic,gemini,2,33/67,0.5890804597701149,0.5595694095892221
colic,gemini,3,33/67,0.6090052585451359,0.5143659644774886
colic,gemini,4,33/67,0.5,0.2756598240469208
colic,gemini,0,50/50,0.5286675807054717,0.5209337124046087
colic,gemini,1,50/50,0.5953316953316954,0.5948623853211009
colic,gemini,2,50/50,0.5902405583946155,0.5696225018504811
colic,gemini,3,50/50,0.5824084704681719,0.4975845410628019
colic,gemini,4,50/50,0.5,0.2840466926070039
colic,gemini,0,67/33,0.5739007092198583,0.5663111840306262
colic,gemini,1,67/33,0.6013249021379102,0.5878378378378378
colic,gemini,2,67/33,0.5591489361702128,0.5398706896551724
colic,gemini,3,67/33,0.5721985815602837,0.49725274725274726
colic,gemini,4,67/33,0.5,0.2947976878612717
colic,gpt-4o,0,33/67,0.6296052631578948,0.6275396825396825
colic,gpt-4o,1,33/67,0.6300164361046432,0.6244632683407683
colic,gpt-4o,2,33/67,0.6669181034482758,0.6189272584033614
colic,gpt-4o,3,33/67,0.6218594799883144,0.6003236245954693
colic,gpt-4o,4,33/67,0.579578639966625,0.48413223982476694
colic,gpt-4o,0,50/50,0.639660974697744,0.640625
colic,gpt-4o,1,50/50,0.5604422604422604,0.52713529856387
colic,gpt-4o,2,50/50,0.6465785865636295,0.6141190370698568
colic,gpt-4o,3,50/50,0.6008419441255262,0.5882922109337203
colic,gpt-4o,4,50/50,0.5534987041836357,0.4434782608695652
colic,gpt-4o,0,67/33,0.6527659574468085,0.6560150375939849
colic,gpt-4o,1,67/33,0.5421559771153267,0.5188071188071188
colic,gpt-4o,2,67/33,0.6509219858156028,0.6147282133978365
colic,gpt-4o,3,67/33,0.5512056737588653,0.5378787878787878
colic,gpt-4o,4,67/33,0.5805026235846451,0.49399313501144165
colic,gpt-o1,0,33/67,0.6131578947368421,0.5429357339334834
colic,gpt-o1,1,33/67,0.6638474181618956,0.6574774865086128
colic,gpt-o1,2,33/67,0.6913793103448276,0.7022626222705266
colic,gpt-o1,3,33/67,0.684633362547473,0.6529506222400643
colic,gpt-o1,4,33/67,0.6248435544430538,0.6174870249455885
colic,gpt-o1,0,50/50,0.6118035647513399,0.5404291173903886
colic,gpt-o1,1,50/50,0.6561425061425061,0.6511690891035479
colic,gpt-o1,2,50/50,0.6748722423033778,0.6804576565532741
colic,gpt-o1,3,50/50,0.6819109580303611,0.6622430862748638
colic,gpt-o1,4,50/50,0.6236579044798223,0.61108020914451
colic,gpt-o1,0,67/33,0.6320567375886526,0.5425
colic,gpt-o1,1,67/33,0.6196928635953026,0.6050112612612613
colic,gpt-o1,2,67/33,0.6873758865248227,0.6942355889724311
colic,gpt-o1,3,67/33,0.6470921985815603,0.6345315904139434
colic,gpt-o1,4,67/33,0.6188898094449047,0.599343185550082
colic,llama3.1:70b,0,33/67,0.5993421052631579,0.5107917322634706
colic,llama3.1:70b,1,33/67,0.6864128201616218,0.6670940170940172
colic,llama3.1:70b,2,33/67,0.5945402298850575,0.5199934123847167
colic,llama3.1:70b,3,33/67,0.5457201285422144,0.5173224695283518
colic,llama3.1:70b,4,33/67,0.6517174245584758,0.6356388709329885
colic,llama3.1:70b,0,50/50,0.5842577589430388,0.48217102211226226
colic,llama3.1:70b,1,50/50,0.5918918918918918,0.5759758029670172
colic,llama3.1:70b,2,50/50,0.5765922971457061,0.5160210425633668
colic,llama3.1:70b,3,50/50,0.5175405026151295,0.49708853238265005
colic,llama3.1:70b,4,50/50,0.6307540417129458,0.6173499702911468
colic,llama3.1:70b,0,67/33,0.5947517730496454,0.49519601655095025
colic,llama3.1:70b,1,67/33,0.5725685034628124,0.5640861200183234
colic,llama3.1:70b,2,67/33,0.5748936170212766,0.5089705982672761
colic,llama3.1:70b,3,67/33,0.4580141843971631,0.4478146321691549
colic,llama3.1:70b,4,67/33,0.6459541563104114,0.6377867746288799
colic,llama3.3:70b,0,33/67,0.5467105263157894,0.546578980199255
colic,llama3.3:70b,1,33/67,0.5938570058896041,0.5676656420765027
colic,llama3.3:70b,2,33/67,0.5655172413793104,0.43526481026481023
colic,llama3.3:70b,3,33/67,0.6842681858019282,0.6469551921287062
colic,llama3.3:70b,4,33/67,0.597900152968989,0.5388517141676993
colic,llama3.3:70b,0,50/50,0.5537828742365698,0.5540247480545988
colic,llama3.3:70b,1,50/50,0.5427518427518427,0.4664847347774177
colic,llama3.3:70b,2,50/50,0.557709086376667,0.43928874367754706
colic,llama3.3:70b,3,50/50,0.6797423140706722,0.6539184952978057
colic,llama3.3:70b,4,50/50,0.5934838948537579,0.5368572455951096
colic,llama3.3:70b,0,67/33,0.5740425531914894,0.5743074841558071
colic,llama3.3:70b,1,67/33,0.5365853658536586,0.4731818181818182
colic,llama3.3:70b,2,67/33,0.5853900709219858,0.4700562557858008
colic,llama3.3:70b,3,67/33,0.6350354609929079,0.6134816312773845
colic,llama3.3:70b,4,67/33,0.6594863297431648,0.6179193899782135
colic,deepseek-r1:70b,0,33/67,0.5736842105263158,0.5666883865470402
colic,deepseek-r1:70b,1,33/67,0.5,0.28405797101449276
colic,deepseek-r1:70b,2,33/67,0.5843031609195402,0.5792694467226043
colic,deepseek-r1:70b,3,33/67,0.6877008472100496,0.6566744260043877
colic,deepseek-r1:70b,4,33/67,0.6479974968710889,0.6392344497607656
colic,deepseek-r1:70b,0,50/50,0.5727284058332294,0.5610163425981152
colic,deepseek-r1:70b,1,50/50,0.5,0.2868217054263566
colic,deepseek-r1:70b,2,50/50,0.5692384394864765,0.5524104378593543
colic,deepseek-r1:70b,3,50/50,0.6904579665773696,0.6722914842877411
colic,deepseek-r1:70b,4,50/50,0.6282241145254843,0.6200508753553793
colic,deepseek-r1:70b,0,67/33,0.5645390070921985,0.5530529172320217
colic,deepseek-r1:70b,1,67/33,0.5,0.25153374233128833
colic,deepseek-r1:70b,2,67/33,0.5436879432624113,0.5251345755693582
colic,deepseek-r1:70b,3,67/33,0.6577304964539007,0.6434930343187224
colic,deepseek-r1:70b,4,67/33,0.6572769953051643,0.6523744911804613
colic,gemma3:27b,0,33/67,0.5802631578947368,0.5807814531272569
