dataset,method,num_trees,split,iter,accuracy,f1_score
boxing2,rf-sv,5,50/50,0,0.7276497695852535,0.7191489361702128
boxing2,rf-sv,5,50/50,1,0.6766917293233083,0.6757894736842105
boxing2,rf-sv,5,50/50,2,0.7138248847926267,0.7120551090700344
boxing2,rf-sv,5,50/50,3,0.7534562211981566,0.7375438596491228
boxing2,rf-sv,5,50/50,4,0.5461323392357875,0.543778801843318
boxing2,rf-sv,5,67/33,0,0.6818181818181818,0.6644880174291938
boxing2,rf-sv,5,67/33,1,0.7098214285714286,0.6791666666666667
boxing2,rf-sv,5,67/33,2,0.4708333333333333,0.4442105263157895
boxing2,rf-sv,5,67/33,3,0.7184265010351967,0.7124183006535948
boxing2,rf-sv,5,67/33,4,0.6535947712418301,0.65625
boxing2,xg-sv,5,33/67,0,0.7372967479674797,0.7382687635852192
boxing2,xg-sv,5,33/67,1,0.6364329268292683,0.636734693877551
boxing2,xg-sv,5,33/67,2,0.5388888888888889,0.5383934218848829
boxing2,xg-sv,5,33/67,3,0.7477249747219413,0.7350161812297735
boxing2,xg-sv,5,33/67,4,0.788974358974359,0.7918399168399168
boxing2,xg-sv,5,50/50,0,0.8101382488479263,0.811965811965812
boxing2,xg-sv,5,50/50,1,0.700187969924812,0.6817451205510907
boxing2,xg-sv,5,50/50,2,0.6995391705069125,0.696969696969697
boxing2,xg-sv,5,50/50,3,0.7248847926267281,0.7038961038961039
boxing2,xg-sv,5,50/50,4,0.7945013979496738,0.7974025974025974
boxing2,xg-sv,5,67/33,0,0.7272727272727273,0.717948717948718
boxing2,xg-sv,5,67/33,1,0.7455357142857143,0.7221052631578948
boxing2,xg-sv,5,67/33,2,0.7416666666666667,0.725
boxing2,xg-sv,5,67/33,3,0.7204968944099379,0.717948717948718
boxing2,xg-sv,5,67/33,4,0.7788671023965141,0.7818181818181817
boxing2,llama3.1:70b,5,33/67,0,0.6397357723577235,0.6368303277609583
boxing2,llama3.1:70b,5,33/67,1,0.584349593495935,0.583428209993675
boxing2,llama3.1:70b,5,33/67,2,0.6285353535353535,0.6275206087507927
boxing2,llama3.1:70b,5,33/67,3,0.6461071789686552,0.6326109391124871
boxing2,llama3.1:70b,5,33/67,4,0.5905128205128205,0.5840596185423772
boxing2,llama3.1:70b,5,50/50,0,0.6866359447004609,0.6826923076923077
boxing2,llama3.1:70b,5,50/50,1,0.6776315789473684,0.6663602941176471
boxing2,llama3.1:70b,5,50/50,2,0.695852534562212,0.695852534562212
boxing2,llama3.1:70b,5,50/50,3,0.7534562211981566,0.7375438596491228
boxing2,llama3.1:70b,5,50/50,4,0.5498602050326188,0.5450367647058824
boxing2,llama3.1:70b,5,67/33,0,0.5909090909090909,0.5769230769230769
boxing2,llama3.1:70b,5,67/33,1,0.6607142857142857,0.6333333333333333
boxing2,llama3.1:70b,5,67/33,2,0.6708333333333334,0.6574987026466009
boxing2,llama3.1:70b,5,67/33,3,0.6946169772256728,0.6848484848484848
boxing2,llama3.1:70b,5,67/33,4,0.6274509803921569,0.6239316239316239
boxing2,llama3.3:70b,5,33/67,0,0.591209349593496,0.5913265306122449
boxing2,llama3.3:70b,5,33/67,1,0.6260162601626016,0.6261932035127911
boxing2,llama3.3:70b,5,33/67,2,0.5613636363636363,0.5609108159392789
boxing2,llama3.3:70b,5,33/67,3,0.6011122345803842,0.586687306501548
boxing2,llama3.3:70b,5,33/67,4,0.4964102564102564,0.49335863377609107
boxing2,llama3.3:70b,5,50/50,0,0.5847926267281106,0.5831578947368421
boxing2,llama3.3:70b,5,50/50,1,0.6907894736842105,0.681159420289855
boxing2,llama3.3:70b,5,50/50,2,0.6585253456221198,0.6495035788501501
boxing2,llama3.3:70b,5,50/50,3,0.7050691244239631,0.6944444444444444
boxing2,llama3.3:70b,5,50/50,4,0.559645852749301,0.5580697298545371
boxing2,llama3.3:70b,5,67/33,0,0.6818181818181819,0.670940170940171
boxing2,llama3.3:70b,5,67/33,1,0.6607142857142857,0.6333333333333333
boxing2,llama3.3:70b,5,67/33,2,0.6458333333333333,0.6356107660455487
boxing2,llama3.3:70b,5,67/33,3,0.681159420289855,0.681159420289855
boxing2,llama3.3:70b,5,67/33,4,0.6938997821350763,0.691644204851752
boxing2,deepseek-r1:70b,5,33/67,0,0.5685975609756098,0.5686224489795919
boxing2,deepseek-r1:70b,5,33/67,1,0.559959349593496,0.5597970830691186
boxing2,deepseek-r1:70b,5,33/67,2,0.55,0.5491388044579535
boxing2,deepseek-r1:70b,5,33/67,3,0.6274014155712841,0.5906385281385281
boxing2,deepseek-r1:70b,5,33/67,4,0.5492307692307692,0.5477642276422765
boxing2,deepseek-r1:70b,5,50/50,0,0.5668202764976958,0.5612535612535613
boxing2,deepseek-r1:70b,5,50/50,1,0.6287593984962406,0.6204278812974464
boxing2,deepseek-r1:70b,5,50/50,2,0.6156682027649769,0.6001863932898416
boxing2,deepseek-r1:70b,5,50/50,3,0.7032258064516128,0.695852534562212
boxing2,deepseek-r1:70b,5,50/50,4,0.5866728797763281,0.586254933828651
boxing2,deepseek-r1:70b,5,67/33,0,0.6363636363636364,0.6333333333333333
boxing2,deepseek-r1:70b,5,67/33,1,0.59375,0.5661650233523612
boxing2,deepseek-r1:70b,5,67/33,2,0.5541666666666667,0.5445134575569358
boxing2,deepseek-r1:70b,5,67/33,3,0.7225672877846792,0.7221052631578948
boxing2,deepseek-r1:70b,5,67/33,4,0.6568627450980392,0.6502384737678856
boxing2,gemma3:27b,5,33/67,0,0.5909552845528455,0.581148312491596
boxing2,gemma3:27b,5,33/67,1,0.6310975609756098,0.6299376299376299
boxing2,gemma3:27b,5,33/67,2,0.5946969696969697,0.5929878048780488
boxing2,gemma3:27b,5,33/67,3,0.6592517694641051,0.6368303277609583
boxing2,gemma3:27b,5,33/67,4,0.6076923076923078,0.6049461001902345
