dataset,method,classifier,concatenation,num_trees,num_examples,description,max_tree_depth,temperature,split,iter,accuracy,f1_score
acl,gemini,mlp,True,4,1,False,0,1,50/50,0,0.5138888888888888,0.4848484848484848
acl,gemini,mlp,True,4,1,False,0,1,50/50,1,0.5,0.2916666666666667
acl,gemini,mlp,True,4,1,False,0,1,50/50,2,0.5642857142857143,0.5641025641025641
acl,gemini,mlp,True,4,1,False,0,1,50/50,3,0.5,0.3703703703703703
acl,gemini,mlp,True,4,1,False,0,1,50/50,4,0.5,0.3461538461538461
acl,gemini,mlp,True,4,1,False,0,1,67/33,0,0.4714285714285714,0.3777777777777777
acl,gemini,mlp,True,4,1,False,0,1,67/33,1,0.4428571428571428,0.4125874125874126
acl,gemini,mlp,True,4,1,False,0,1,67/33,2,0.5,0.25
acl,gemini,mlp,True,4,1,False,0,1,67/33,3,0.5625,0.5555555555555556
acl,gemini,mlp,True,4,1,False,0,1,67/33,4,0.6571428571428571,0.6571428571428571
acl,gemini,mlp,True,5,1,False,0,1,33/67,0,0.6190476190476191,0.6057142857142856
acl,gemini,mlp,True,5,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,gemini,mlp,True,5,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,gemini,mlp,True,5,1,False,0,1,33/67,3,0.6547619047619048,0.6461538461538461
acl,gemini,mlp,True,5,1,False,0,1,33/67,4,0.3423076923076923,0.3428571428571428
acl,gemini,mlp,True,5,1,False,0,1,50/50,0,0.6944444444444444,0.6886446886446886
acl,gemini,mlp,True,5,1,False,0,1,50/50,1,0.5,0.2916666666666667
acl,gemini,mlp,True,5,1,False,0,1,50/50,2,0.4642857142857143,0.4631578947368421
acl,gemini,mlp,True,5,1,False,0,1,50/50,3,0.5,0.3703703703703703
acl,gemini,mlp,True,5,1,False,0,1,50/50,4,0.5,0.3461538461538461
acl,gemini,mlp,True,5,1,False,0,1,67/33,0,0.5714285714285714,0.4375
acl,gemini,mlp,True,5,1,False,0,1,67/33,1,0.4714285714285714,0.3777777777777777
acl,gemini,mlp,True,5,1,False,0,1,67/33,2,0.3125,0.3142857142857143
acl,gemini,mlp,True,5,1,False,0,1,67/33,3,0.4375,0.4125874125874126
acl,gemini,mlp,True,5,1,False,0,1,67/33,4,0.6285714285714286,0.625
acl,claude,mlp,True,1,1,False,0,1,33/67,0,0.5833333333333333,0.5643939393939394
acl,claude,mlp,True,1,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,claude,mlp,True,1,1,False,0,1,33/67,2,0.5416666666666666,0.4102564102564102
acl,claude,mlp,True,1,1,False,0,1,33/67,3,0.5,0.28125
acl,claude,mlp,True,1,1,False,0,1,33/67,4,0.4961538461538461,0.486815415821501
acl,claude,mlp,True,1,1,False,0,1,50/50,0,0.5763888888888888,0.5641025641025641
acl,claude,mlp,True,1,1,False,0,1,50/50,1,0.5,0.2916666666666667
acl,claude,mlp,True,1,1,False,0,1,50/50,2,0.5142857142857142,0.5142857142857142
acl,claude,mlp,True,1,1,False,0,1,50/50,3,0.5,0.3703703703703703
acl,claude,mlp,True,1,1,False,0,1,50/50,4,0.5,0.3461538461538461
acl,claude,mlp,True,1,1,False,0,1,67/33,0,0.4,0.25
acl,claude,mlp,True,1,1,False,0,1,67/33,1,0.5,0.2941176470588235
acl,claude,mlp,True,1,1,False,0,1,67/33,2,0.375,0.3777777777777777
acl,claude,mlp,True,1,1,False,0,1,67/33,3,0.5625,0.5555555555555556
acl,claude,mlp,True,1,1,False,0,1,67/33,4,0.5,0.3684210526315789
acl,claude,mlp,True,2,1,False,0,1,33/67,0,0.5476190476190476,0.5217391304347826
acl,claude,mlp,True,2,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,claude,mlp,True,2,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,claude,mlp,True,2,1,False,0,1,33/67,3,0.5476190476190476,0.5217391304347826
acl,claude,mlp,True,2,1,False,0,1,33/67,4,0.4192307692307692,0.4171539961013645
acl,claude,mlp,True,2,1,False,0,1,50/50,0,0.4513888888888889,0.3952569169960475
acl,claude,mlp,True,2,1,False,0,1,50/50,1,0.5,0.2916666666666667
acl,claude,mlp,True,2,1,False,0,1,50/50,2,0.4642857142857143,0.4631578947368421
acl,claude,mlp,True,2,1,False,0,1,50/50,3,0.4642857142857143,0.4631578947368421
acl,claude,mlp,True,2,1,False,0,1,50/50,4,0.5,0.3461538461538461
acl,claude,mlp,True,2,1,False,0,1,67/33,0,0.4714285714285714,0.3777777777777777
acl,claude,mlp,True,2,1,False,0,1,67/33,1,0.6428571428571428,0.5555555555555556
acl,claude,mlp,True,2,1,False,0,1,67/33,2,0.4375,0.4125874125874126
acl,claude,mlp,True,2,1,False,0,1,67/33,3,0.5625,0.5555555555555556
acl,claude,mlp,True,2,1,False,0,1,67/33,4,0.5,0.3684210526315789
acl,claude,mlp,True,3,1,False,0,1,33/67,0,0.5476190476190476,0.5217391304347826
acl,claude,mlp,True,3,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,claude,mlp,True,3,1,False,0,1,33/67,2,0.5416666666666666,0.4102564102564102
acl,claude,mlp,True,3,1,False,0,1,33/67,3,0.5,0.28125
acl,claude,mlp,True,3,1,False,0,1,33/67,4,0.4576923076923077,0.4523809523809523
acl,claude,mlp,True,3,1,False,0,1,50/50,0,0.6388888888888888,0.6357142857142857
acl,claude,mlp,True,3,1,False,0,1,50/50,1,0.5,0.2916666666666667
acl,claude,mlp,True,3,1,False,0,1,50/50,2,0.6571428571428571,0.6458333333333333
acl,claude,mlp,True,3,1,False,0,1,50/50,3,0.4428571428571428,0.4395604395604395
acl,claude,mlp,True,3,1,False,0,1,50/50,4,0.6319444444444444,0.6136363636363636
acl,claude,mlp,True,3,1,False,0,1,67/33,0,0.5714285714285714,0.4375
acl,claude,mlp,True,3,1,False,0,1,67/33,1,0.6428571428571428,0.5555555555555556
acl,claude,mlp,True,3,1,False,0,1,67/33,2,0.5,0.4
acl,claude,mlp,True,3,1,False,0,1,67/33,3,0.375,0.3333333333333333
acl,claude,mlp,True,3,1,False,0,1,67/33,4,0.5,0.3684210526315789
acl,claude,mlp,True,4,1,False,0,1,33/67,0,0.5833333333333333,0.5643939393939394
acl,claude,mlp,True,4,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,claude,mlp,True,4,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,claude,mlp,True,4,1,False,0,1,33/67,3,0.5119047619047619,0.4772727272727273
acl,claude,mlp,True,4,1,False,0,1,33/67,4,0.4692307692307692,0.4692307692307692
acl,claude,mlp,True,4,1,False,0,1,50/50,0,0.6388888888888888,0.6357142857142857
acl,claude,mlp,True,4,1,False,0,1,50/50,1,0.5,0.2916666666666667
acl,claude,mlp,True,4,1,False,0,1,50/50,2,0.5,0.3703703703703703
acl,claude,mlp,True,4,1,False,0,1,50/50,3,0.5,0.3703703703703703
acl,claude,mlp,True,4,1,False,0,1,50/50,4,0.5,0.3461538461538461
acl,claude,mlp,True,4,1,False,0,1,67/33,0,0.5714285714285714,0.4375
acl,claude,mlp,True,4,1,False,0,1,67/33,1,0.5714285714285714,0.4375
acl,claude,mlp,True,4,1,False,0,1,67/33,2,0.625,0.5804195804195804
acl,claude,mlp,True,4,1,False,0,1,67/33,3,0.5,0.4857142857142857
acl,claude,mlp,True,4,1,False,0,1,67/33,4,0.5,0.3684210526315789
acl,claude,mlp,True,5,1,False,0,1,33/67,0,0.3809523809523809,0.3807692307692307
acl,claude,mlp,True,5,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,claude,mlp,True,5,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,claude,mlp,True,5,1,False,0,1,33/67,3,0.5119047619047619,0.4772727272727273
acl,claude,mlp,True,5,1,False,0,1,33/67,4,0.5,0.3611111111111111
acl,claude,mlp,True,5,1,False,0,1,50/50,0,0.5138888888888888,0.4848484848484848
acl,claude,mlp,True,5,1,False,0,1,50/50,1,0.5,0.2916666666666667
acl,claude,mlp,True,5,1,False,0,1,50/50,2,0.4428571428571428,0.4395604395604395
acl,claude,mlp,True,5,1,False,0,1,50/50,3,0.5071428571428571,0.4631578947368421
acl,claude,mlp,True,5,1,False,0,1,50/50,4,0.5,0.3461538461538461
acl,claude,mlp,True,5,1,False,0,1,67/33,0,0.5428571428571429,0.4857142857142857
acl,claude,mlp,True,5,1,False,0,1,67/33,1,0.5714285714285714,0.4375
acl,claude,mlp,True,5,1,False,0,1,67/33,2,0.5625,0.5555555555555556
acl,claude,mlp,True,5,1,False,0,1,67/33,3,0.5625,0.5
acl,claude,mlp,True,5,1,False,0,1,67/33,4,0.5,0.3684210526315789
bankruptcy,gpt-4o,mlp,True,1,1,False,0,1,33/67,0,0.8350877192982455,0.8235294117647058
bankruptcy,gpt-4o,mlp,True,1,1,False,0,1,33/67,1,0.8055555555555556,0.7895667550839964
bankruptcy,gpt-4o,mlp,True,1,1,False,0,1,33/67,2,0.8736842105263158,0.8785714285714286
bankruptcy,gpt-4o,mlp,True,1,1,False,0,1,33/67,3,0.8321428571428571,0.8418604651162791
