dataset,method,num_trees,iter,decision_tree,description,num_examples,max_tree_depth,temperature,split,accuracy,f1_score
acl,claude,5,2,True,False,1,2,0,33/67,0.5,0.34285714285714286
acl,claude,5,3,True,False,1,2,0,33/67,0.5357142857142857,0.35698924731182796
acl,claude,5,4,True,False,1,2,0,33/67,0.5384615384615384,0.3839285714285714
acl,claude,5,0,True,False,1,2,0,50/50,0.5555555555555556,0.43333333333333335
acl,claude,5,1,True,False,1,2,0,50/50,0.5714285714285714,0.5096153846153846
acl,claude,5,2,True,False,1,2,0,50/50,0.5,0.2916666666666667
acl,claude,5,3,True,False,1,2,0,50/50,0.55,0.3952569169960475
acl,claude,5,4,True,False,1,2,0,50/50,0.5555555555555556,0.43333333333333335
acl,claude,5,0,True,False,1,2,0,67/33,0.6,0.5555555555555556
acl,claude,5,1,True,False,1,2,0,67/33,0.6,0.5555555555555556
acl,claude,5,2,True,False,1,2,0,67/33,0.5,0.25
acl,claude,5,3,True,False,1,2,0,67/33,0.5625,0.37777777777777777
acl,claude,5,4,True,False,1,2,0,67/33,0.5714285714285714,0.4375
acl,claude,5,0,True,False,1,2,0.5,33/67,0.5357142857142857,0.35698924731182796
acl,claude,5,1,True,False,1,2,0.5,33/67,0.5454545454545454,0.4362745098039216
acl,claude,5,2,True,False,1,2,0.5,33/67,0.5,0.34285714285714286
acl,claude,5,3,True,False,1,2,0.5,33/67,0.5357142857142857,0.35698924731182796
acl,claude,5,4,True,False,1,2,0.5,33/67,0.5384615384615384,0.3839285714285714
acl,claude,5,0,True,False,1,2,0.5,50/50,0.5555555555555556,0.43333333333333335
acl,claude,5,1,True,False,1,2,0.5,50/50,0.5714285714285714,0.5096153846153846
acl,claude,5,2,True,False,1,2,0.5,50/50,0.5,0.2916666666666667
acl,claude,5,3,True,False,1,2,0.5,50/50,0.55,0.3952569169960475
acl,claude,5,4,True,False,1,2,0.5,50/50,0.5555555555555556,0.43333333333333335
acl,claude,5,0,True,False,1,2,0.5,67/33,0.6,0.5555555555555556
acl,claude,5,1,True,False,1,2,0.5,67/33,0.6,0.5555555555555556
acl,claude,5,2,True,False,1,2,0.5,67/33,0.5,0.25
acl,claude,5,3,True,False,1,2,0.5,67/33,0.5625,0.37777777777777777
acl,claude,5,4,True,False,1,2,0.5,67/33,0.5714285714285714,0.4375
acl,claude,5,0,True,False,1,2,1,33/67,0.5357142857142857,0.35698924731182796
acl,claude,5,1,True,False,1,2,1,33/67,0.5454545454545454,0.4362745098039216
acl,claude,5,2,True,False,1,2,1,33/67,0.5,0.34285714285714286
acl,claude,5,3,True,False,1,2,1,33/67,0.5357142857142857,0.35698924731182796
acl,claude,5,4,True,False,1,2,1,33/67,0.5384615384615384,0.3839285714285714
acl,claude,5,0,True,False,1,2,1,50/50,0.5555555555555556,0.43333333333333335
acl,claude,5,1,True,False,1,2,1,50/50,0.5714285714285714,0.5096153846153846
acl,claude,5,2,True,False,1,2,1,50/50,0.5,0.2916666666666667
acl,claude,5,3,True,False,1,2,1,50/50,0.55,0.3952569169960475
acl,claude,5,4,True,False,1,2,1,50/50,0.5555555555555556,0.43333333333333335
acl,claude,5,0,True,False,1,2,1,67/33,0.6,0.5555555555555556
acl,claude,5,1,True,False,1,2,1,67/33,0.6,0.5555555555555556
acl,claude,5,2,True,False,1,2,1,67/33,0.5,0.25
acl,claude,5,3,True,False,1,2,1,67/33,0.5625,0.37777777777777777
acl,claude,5,4,True,False,1,2,1,67/33,0.5714285714285714,0.4375
bankruptcy,gpt-4o,5,0,True,False,1,2,0,33/67,0.7403508771929824,0.7424242424242424
bankruptcy,gpt-4o,5,1,True,False,1,2,0,33/67,0.8472222222222222,0.8496905393457117
