dataset,method,concatenation,num_trees,num_examples,description,max_tree_depth,temperature,split,iter,accuracy,f1_score
acl,gpt-o1,False,5,1,False,0,1,67/33,4,0.8571428571428572,0.8333333333333334
acl,gpt-o1,True,5,1,False,0,1,33/67,0,0.6547619047619048,0.6461538461538461
acl,gpt-o1,True,5,1,False,0,1,33/67,1,0.625,0.5548387096774194
acl,gpt-o1,True,5,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,gpt-o1,True,5,1,False,0,1,33/67,3,0.6388888888888888,0.6086956521739131
acl,gpt-o1,True,5,1,False,0,1,33/67,4,0.4192307692307692,0.4171539961013645
acl,gpt-o1,True,5,1,False,0,1,50/50,0,0.6944444444444444,0.6886446886446886
acl,gpt-o1,True,5,1,False,0,1,50/50,1,0.5,0.2916666666666667
acl,gpt-o1,True,5,1,False,0,1,50/50,2,0.5142857142857142,0.5142857142857142
acl,gpt-o1,True,5,1,False,0,1,50/50,3,0.5857142857142856,0.5824561403508772
acl,gpt-o1,True,5,1,False,0,1,50/50,4,0.5,0.34615384615384615
acl,gpt-o1,True,5,1,False,0,1,67/33,0,0.7142857142857143,0.6571428571428571
acl,gpt-o1,True,5,1,False,0,1,67/33,1,0.44285714285714284,0.4125874125874126
acl,gpt-o1,True,5,1,False,0,1,67/33,2,0.6875,0.6571428571428571
acl,gpt-o1,True,5,1,False,0,1,67/33,3,0.5,0.4957983193277311
acl,gpt-o1,True,5,1,False,0,1,67/33,4,0.7285714285714285,0.7333333333333334
acl,gemini,False,5,1,False,0,1,33/67,0,0.5,0.28125
acl,gemini,False,5,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,gemini,False,5,1,False,0,1,33/67,2,0.5795454545454546,0.5208333333333333
acl,gemini,False,5,1,False,0,1,33/67,3,0.5833333333333333,0.5643939393939394
acl,gemini,False,5,1,False,0,1,33/67,4,0.5423076923076923,0.5180952380952382
acl,gemini,False,5,1,False,0,1,50/50,0,0.6388888888888888,0.6357142857142857
acl,gemini,False,5,1,False,0,1,50/50,1,0.42857142857142855,0.2608695652173913
acl,gemini,False,5,1,False,0,1,50/50,2,0.4928571428571428,0.48484848484848486
acl,gemini,False,5,1,False,0,1,50/50,3,0.5857142857142856,0.5824561403508772
acl,gemini,False,5,1,False,0,1,50/50,4,0.5,0.34615384615384615
acl,gemini,False,5,1,False,0,1,67/33,0,0.6857142857142857,0.6666666666666666
acl,gemini,False,5,1,False,0,1,67/33,1,0.5142857142857142,0.5
acl,gemini,False,5,1,False,0,1,67/33,2,0.625,0.5804195804195804
acl,gemini,False,5,1,False,0,1,67/33,3,0.6875,0.6571428571428571
acl,gemini,False,5,1,False,0,1,67/33,4,0.8571428571428572,0.8333333333333334
acl,gemini,True,5,1,False,0,1,33/67,0,0.6190476190476191,0.6057142857142856
acl,gemini,True,5,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,gemini,True,5,1,False,0,1,33/67,2,0.5,0.3235294117647059
acl,gemini,True,5,1,False,0,1,33/67,3,0.6547619047619048,0.6461538461538461
acl,gemini,True,5,1,False,0,1,33/67,4,0.3423076923076923,0.34285714285714286
acl,gemini,True,5,1,False,0,1,50/50,0,0.6944444444444444,0.6886446886446886
acl,gemini,True,5,1,False,0,1,50/50,1,0.5,0.2916666666666667
acl,gemini,True,5,1,False,0,1,50/50,2,0.4642857142857143,0.4631578947368421
acl,gemini,True,5,1,False,0,1,50/50,3,0.5,0.37037037037037035
acl,gemini,True,5,1,False,0,1,50/50,4,0.5,0.34615384615384615
acl,gemini,True,5,1,False,0,1,67/33,0,0.5714285714285714,0.4375
acl,gemini,True,5,1,False,0,1,67/33,1,0.4714285714285714,0.37777777777777777
acl,gemini,True,5,1,False,0,1,67/33,2,0.3125,0.3142857142857143
acl,gemini,True,5,1,False,0,1,67/33,3,0.4375,0.4125874125874126
acl,gemini,True,5,1,False,0,1,67/33,4,0.6285714285714286,0.625
acl,claude,False,5,1,False,0,1,33/67,0,0.6190476190476191,0.6057142857142856
acl,claude,False,5,1,False,0,1,33/67,1,0.5,0.3235294117647059
acl,claude,False,5,1,False,0,1,33/67,2,0.5303030303030303,0.50682261208577
acl,claude,False,5,1,False,0,1,33/67,3,0.5873015873015872,0.50682261208577
acl,claude,False,5,1,False,0,1,33/67,4,0.5,0.3611111111111111
acl,claude,False,5,1,False,0,1,50/50,0,0.5208333333333333,0.5142857142857142
acl,claude,False,5,1,False,0,1,50/50,1,0.5,0.2916666666666667
acl,claude,False,5,1,False,0,1,50/50,2,0.5,0.37037037037037035
acl,claude,False,5,1,False,0,1,50/50,3,0.7285714285714285,0.7058823529411765
acl,claude,False,5,1,False,0,1,50/50,4,0.5625,0.4711111111111111
acl,claude,False,5,1,False,0,1,67/33,0,0.5,0.29411764705882354
acl,claude,False,5,1,False,0,1,67/33,1,0.6142857142857143,0.5804195804195804
